 118.32108267   1.00000000 -224.96779754 
 118.32108267   1.05172414 -225.10332832 
 118.32108267   1.10344828 -225.18876395 
 118.32108267   1.15517241 -225.23912642 
 118.32108267   1.20689655 -225.26512754 
 118.32108267   1.25862069 -225.27435065 
 118.32108267   1.31034483 -225.27210631 
 118.32108267   1.36206897 -225.26203557 
 118.32108267   1.41379310 -225.24665648 
 118.32108267   1.46551724 -225.22772583 
 118.32108267   1.51724138 -225.20648530 
 118.32108267   1.56896552 -225.18385272 
 118.32108267   1.62068966 -225.16053612 
 118.32108267   1.67241379 -225.13707029 
 118.32108267   1.72413793 -225.11384467 
 118.32108267   1.77586207 -225.09115324 
 118.32108267   1.82758621 -225.06921560 
 118.32108267   1.87931034 -225.04817158 
 118.32108267   1.93103448 -225.02809517 
 118.32108267   1.98275862 -225.00903094 
 118.32108267   2.03448276 -224.99101283 
 118.32108267   2.08620690 -224.97405112 
 118.32108267   2.13793103 -224.95812506 
 118.32108267   2.18965517 -224.94319722 
 118.32108267   2.24137931 -224.92923074 
 118.32108267   2.29310345 -224.91619741 
 118.32108267   2.34482759 -224.90407402 
 118.32108267   2.39655172 -224.89283296 
 118.32108267   2.44827586 -224.88243765 
 118.32108267   2.50000000 -224.87284092 
 115.62035568   1.00000000 -224.96026767 
 115.62035568   1.05172414 -225.09806312 
 115.62035568   1.10344828 -225.18520982 
 115.62035568   1.15517241 -225.23684766 
 115.62035568   1.20689655 -225.26378000 
 115.62035568   1.25862069 -225.27366321 
 115.62035568   1.31034483 -225.27187044 
 115.62035568   1.36206897 -225.26209727 
 115.62035568   1.41379310 -225.24690558 
 115.62035568   1.46551724 -225.22808567 
 115.62035568   1.51724138 -225.20690562 
 115.62035568   1.56896552 -225.18429935 
 115.62035568   1.62068966 -225.16098646 
 115.62035568   1.67241379 -225.13750900 
 115.62035568   1.72413793 -225.11426160 
 115.62035568   1.77586207 -225.09154189 
 115.62035568   1.82758621 -225.06957105 
 115.62035568   1.87931034 -225.04848979 
 115.62035568   1.93103448 -225.02837405 
 115.62035568   1.98275862 -225.00927098 
 115.62035568   2.03448276 -224.99121680 
 115.62035568   2.08620690 -224.97422378 
 115.62035568   2.13793103 -224.95827322 
 115.62035568   2.18965517 -224.94332819 
 115.62035568   2.24137931 -224.92934971 
 115.62035568   2.29310345 -224.91630676 
 115.62035568   2.34482759 -224.90417510 
 115.62035568   2.39655172 -224.89292730 
 115.62035568   2.44827586 -224.88252596 
 115.62035568   2.50000000 -224.87292244 
 112.91962869   1.00000000 -224.94980854 
 112.91962869   1.05172414 -225.09031191 
 112.91962869   1.10344828 -225.17954868 
 112.91962869   1.15517241 -225.23278769 
 112.91962869   1.20689655 -225.26092921 
 112.91962869   1.25862069 -225.27170906 
 112.91962869   1.31034483 -225.27056794 
 112.91962869   1.36206897 -225.26125893 
 112.91962869   1.41379310 -225.24639296 
 112.91962869   1.46551724 -225.22779867 
