 140.00000000   0.70000000 -221.61082134 
 140.00000000   0.74482759 -222.62476042 
 140.00000000   0.78965517 -223.37540486 
 140.00000000   0.83448276 -223.92875191 
 140.00000000   0.87931034 -224.33400920 
 140.00000000   0.92413793 -224.62816960 
 140.00000000   0.96896552 -224.83917208 
 140.00000000   1.01379310 -224.98812588 
 140.00000000   1.05862069 -225.09103164 
 140.00000000   1.10344828 -225.15993014 
 140.00000000   1.14827586 -225.20391511 
 140.00000000   1.19310345 -225.22975814 
 140.00000000   1.23793103 -225.24245578 
 140.00000000   1.28275862 -225.24568807 
 140.00000000   1.32758621 -225.24210080 
 140.00000000   1.37241379 -225.23358833 
 140.00000000   1.41724138 -225.22152987 
 140.00000000   1.46206897 -225.20693324 
 140.00000000   1.50689655 -225.19054292 
 140.00000000   1.55172414 -225.17293535 
 140.00000000   1.59655172 -225.15457779 
 140.00000000   1.64137931 -225.13584674 
 140.00000000   1.68620690 -225.11703265 
 140.00000000   1.73103448 -225.09836058 
 140.00000000   1.77586207 -225.08001132 
 140.00000000   1.82068966 -225.06212719 
 140.00000000   1.86551724 -225.04480549 
 140.00000000   1.91034483 -225.02810325 
 140.00000000   1.95517241 -225.01205551 
 140.00000000   2.00000000 -224.99669282 
 136.89655172   0.70000000 -221.60825629 
 136.89655172   0.74482759 -222.62716422 
 136.89655172   0.78965517 -223.38109833 
 136.89655172   0.83448276 -223.93654628 
 136.89655172   0.87931034 -224.34303668 
 136.89655172   0.92413793 -224.63780764 
 136.89655172   0.96896552 -224.84899102 
 136.89655172   1.01379310 -224.99784273 
 136.89655172   1.05862069 -225.10046235 
 136.89655172   1.10344828 -225.16896153 
 136.89655172   1.14827586 -225.21248131 
 136.89655172   1.19310345 -225.23782172 
 136.89655172   1.23793103 -225.25000389 
 136.89655172   1.28275862 -225.25271611 
 136.89655172   1.32758621 -225.24860913 
 136.89655172   1.37241379 -225.23958479 
 136.89655172   1.41724138 -225.22702437 
 136.89655172   1.46206897 -225.21193879 
 136.89655172   1.50689655 -225.19507962 
 136.89655172   1.55172414 -225.17702857 
 136.89655172   1.59655172 -225.15825550 
 136.89655172   1.64137931 -225.13913832 
 136.89655172   1.68620690 -225.11996912 
 136.89655172   1.73103448 -225.10097287 
 136.89655172   1.77586207 -225.08233049 
 136.89655172   1.82068966 -225.06418171 
 136.89655172   1.86551724 -225.04662019 
 136.89655172   1.91034483 -225.02970073 
 136.89655172   1.95517241 -225.01345787 
 136.89655172   2.00000000 -224.99792181 
 133.79310345   0.70000000 -221.60045701 
 133.79310345   0.74482759 -222.62496998 
 133.79310345   0.78965517 -223.38279716 
 133.79310345   0.83448276 -223.94090446 
 133.79310345   0.87931034 -224.34912898 
 133.79310345   0.92413793 -224.64494762 
 133.79310345   0.96896552 -224.85668551 
 133.79310345   1.01379310 -225.00574753 
 133.79310345   1.05862069 -225.10834020 
 133.79310345   1.10344828 -225.17665073 
 133.79310345   1.14827586 -225.21987329 
 133.79310345   1.19310345 -225.24484673 
 133.79310345   1.23793103 -225.25661996 
 133.79310345   1.28275862 -225.25890043 
 133.79310345   1.32758621 -225.25435217 
 133.79310345   1.37241379 -225.24488626 
 133.79310345   1.41724138 -225.23189109 
 133.79310345   1.46206897 -225.21638353 
 133.79310345   1.50689655 -225.19912002 
 133.79310345   1.55172414 -225.18068603 
 133.79310345   1.59655172 -225.16155384 
 133.79310345   1.64137931 -225.14210283 
 133.79310345   1.68620690 -225.12262535 
 133.79310345   1.73103448 -225.10334639 
 133.79310345   1.77586207 -225.08444598 
 133.79310345   1.82068966 -225.06606254 
 133.79310345   1.86551724 -225.04828854 
 133.79310345   1.91034483 -225.03117742 
 133.79310345   1.95517241 -225.01476252 
 133.79310345   2.00000000 -224.99907235 
